Accession,NC1,NC2,NC3,EV1,EV2,EV3
P41218,1,1.013,1.077,0.81,0.821,0.844
Q9Y279,1,0.946,0.975,0.771,0.678,0.744
B2RE75,1,0.884,0.817,0.65,0.776,0.651
Q9UIB8,1,0.936,0.979,0.547,0.575,0.547
A0A4D5RBK2,1,0.962,1.063,0.862,0.835,0.713
B4DVK1,1,0.87,0.984,1.221,1.154,1.112
E5RHN3,1,1.255,1.159,0.606,0.53,0.586
P35354,1,1.059,1.049,1.368,1.5,1.405
B4DLK5,1,0.943,0.835,1.126,1.212,1.1
A0A212PCH7,1,0.939,0.983,0.819,0.796,0.714
Q01151,1,1.057,1.14,1.345,1.256,1.393
P07858,1,1.031,1.053,0.828,0.81,0.872
P17900,1,0.919,0.894,0.69,0.745,0.708
P35625,1,1.078,1.074,1.393,1.263,1.543
B5MDC5,1,0.886,0.778,0.698,0.713,0.685
Q9Y3L5,1,0.938,0.906,1.532,1.296,1.47
Q53GZ8,1,1.051,0.979,0.862,0.787,0.856
Q6MZQ5,1,1.061,1.268,0.832,0.882,0.902
Q15043,1,1.02,1.232,1.639,1.621,1.621
P36222,1,0.997,1.051,0.699,0.697,0.748
Q9NR30,1,0.978,1.073,1.286,1.243,1.33
Q96AH8,1,0.926,0.976,0.74,0.721,0.779
B4DN59,1,0.977,0.929,1.21,1.113,1.203
Q14142,1,1.244,1.087,0.887,0.81,0.88
A0A024R8D5,1,0.996,0.971,1.153,1.216,1.195
A0A024R571,1,0.996,0.944,1.265,1.393,1.227
O60462,1,1.031,1.026,1.986,1.75,2.068
A0A2R8Y5Q7,1,0.906,1.018,1.177,1.186,1.213
A0A8I5KVE6,1,0.991,1.035,1.183,1.24,1.251
P49715,1,0.992,0.934,0.694,0.727,0.704
O15117,1,1.03,0.984,0.718,0.78,0.72
P41162,1,0.897,0.961,1.282,1.214,1.28
Q59GX2,1,0.959,1.008,1.321,1.2,1.411
P01584,1,0.959,1.01,3.009,3.36,2.832
A0A1B0GW68,1,0.897,0.815,0.755,0.711,0.768
P21580,1,1.059,1.003,1.275,1.174,1.247
P16619,1,1.027,0.981,4.931,4.216,4.938
F5GWI4,1,0.978,0.979,1.239,1.222,1.1
F5H3C5,1,0.958,0.967,1.558,1.595,1.141
Q8NA29,1,1.003,1.056,2.116,1.801,2.296
P17676,1,0.971,0.984,1.255,1.209,1.244
P78556,1,0.985,1.089,1.64,1.643,2.055
E9PNF7,1,1.042,1.079,0.817,0.901,0.842
Q6DKI2,1,1.147,1.018,0.807,0.704,0.813
G3XAJ6,1,0.967,1,1.278,1.227,1.313
A0A0B4J259,1,1.026,1,0.719,0.716,0.729
D3DSR9,1,0.989,1.134,1.382,1.21,1.422
A2RRC9,1,0.996,1.046,1.236,1.202,1.214
O15204,1,1.019,1.084,0.831,0.789,0.835
B7ZL04,1,1.119,1.032,0.627,0.925,0.79
B4DMR3,1,1.018,1.113,1.65,1.454,1.708
A0A0G2JNU6,1,1.008,1.037,0.852,0.755,0.891
P09601,1,1.062,0.896,0.677,0.817,0.704
P56199,1,0.88,0.992,1.605,1.539,1.572
Q96CP6,1,1.015,0.992,1.506,1.423,1.495
P04004,1,1.046,0.882,1.137,1.338,1.476
Q5T073,1,0.78,0.807,0.547,0.517,0.55
Q9NZJ0,1,0.974,1.205,1.22,1.34,1.369
P69905,1,1.062,0.992,1.196,1.468,1.241
E7ETU9,1,0.979,1.122,1.242,1.287,1.265
E9PDK7,1,0.884,0.783,1.148,1.156,1.093
A0A024R8V7,1,1.083,0.963,0.574,0.538,0.679
P98066,1,0.905,0.966,1.551,1.587,1.614
O43353,1,1.031,1.01,1.303,1.162,1.204
Q59E85,1,1.084,1.15,1.92,1.47,1.719
Q14213,1,0.934,0.895,1.593,1.576,1.569
P02795,1,1.187,1.129,1.797,1.639,1.892
A0A3B3IS67,1,0.976,1.103,1.25,1.23,1.379
P05026,1,0.928,0.97,0.775,0.785,0.8
Q8NET5,1,0.953,0.898,0.775,0.725,0.843
P19876,1,0.965,0.888,2.677,2.75,2.383
Q15582,1,1.016,1.029,0.793,0.772,0.835
A0A140VJJ6,1,0.834,0.792,1.652,1.744,1.594
Q6ZN13,1,1.136,1.02,0.866,0.867,0.833
A8K4G3,1,0.992,1.079,1.575,1.482,1.497
A8K169,1,0.959,1.1,0.784,0.793,0.82
B2RB90,1,1.024,1.062,2.182,2.12,2.084
Q9P0C9,1,0.959,0.986,0.788,0.753,0.743
B7Z5B0,1,1.022,1.04,1.372,1.294,1.342
P42830,1,1.072,1.06,1.46,1.423,1.46
Q8IV08,1,1.023,1.039,0.778,0.757,0.815
Q16828,1,1.047,1.019,0.869,0.814,0.86
Q59H74,1,0.936,0.955,0.791,0.774,0.82
Q3KP66,1,1.021,1.003,1.211,1.211,1.239
O43278,1,1.095,1.104,0.805,0.728,0.805
A8K6N9,1,1.188,1.049,0.894,0.905,0.876
Q6IAZ2,1,0.899,0.915,1.197,1.203,1.154
P01730,1,1.34,1.125,0.682,0.668,0.956
P10145,1,1.028,0.956,2.823,2.669,2.887
P18084,1,1.001,1.006,0.691,0.645,0.755
B4DXM7,1,0.968,1.047,0.761,0.705,0.792
Q96QH2,1,0.932,0.911,0.689,0.762,0.677
O60682,1,0.867,0.903,1.142,1.252,1.479
P32418,1,0.944,0.918,0.71,0.752,0.779
Q9BY67,1,0.979,0.854,0.679,0.69,0.674
B4DMV0,1,0.975,0.993,0.752,0.783,0.745
Q6FHN2,1,0.984,1.055,0.785,0.796,0.8
Q6FG54,1,0.88,1.027,1.195,1.209,1.202
P30793,1,1.071,1.008,1.552,1.368,1.593
Q8NBY1,1,1.004,0.919,1.27,1.24,1.186
A8K7Y3,1,0.953,1.005,1.48,1.351,1.402
B7Z747,1,0.982,1.08,0.689,0.675,0.732
P22749,1,1.038,0.989,0.806,0.784,0.851
B3KY47,1,1.027,0.991,1.656,1.729,1.642
Q86VB7,1,1.011,1.032,0.651,0.597,0.63
P32246,1,0.996,1.084,0.729,0.679,0.722
A0A0A0MRM9,1,1.01,1.081,1.297,1.232,1.325
D3DSQ1,1,0.944,0.873,0.76,0.792,0.747
B4E1P2,1,1.01,0.912,1.234,1.224,1.23
